model,source,auroc,auprc,top_k,top_k_recall,enrichment_at_k,variants
RNA-FM frozen encoder + MLP,trained_classifier,0.6683729158041326,0.6559308578340268,33.0,0.13496932515337423,1.3333333333333333,326
Pangolin real sequence model,real_external_tool,0.5901991042192027,0.6416400925863538,33.0,0.15950920245398773,1.5757575757575757,326
SpliceAI real sequence model,real_external_tool,0.5134931687304753,0.5692917293043166,33.0,0.13496932515337423,1.3333333333333333,326
CNN baseline (PyTorch Conv1D),trained_classifier,0.5579999247243027,0.5650451565863854,33.0,0.11042944785276074,1.0909090909090908,326
MaxEntScan real local score,real_external_tool,0.4668222364409651,0.5496255643352451,33.0,0.12883435582822086,1.2727272727272727,326
RNABERT frozen encoder + MLP,trained_classifier,0.5154879747073657,0.5441978512536718,33.0,0.11042944785276074,1.0909090909090908,326
MMSplice real sequence model,real_external_tool,0.5,0.5,33.0,0.09202453987730061,0.9090909090909091,326
