model,bin,rows,score_min,score_max,mean_score,positive_rate
RNA-FM frozen encoder + MLP,1,63,1.0976775044468923e-12,4.323056481347898e-06,7.077615291441958e-07,0.25396825396825395
RNA-FM frozen encoder + MLP,2,63,4.423494760152913e-06,6.766235292254841e-05,3.2733831613552916e-05,0.23809523809523808
RNA-FM frozen encoder + MLP,3,63,7.005367322143741e-05,0.0004137784980339904,0.00019734529392356022,0.38095238095238093
RNA-FM frozen encoder + MLP,4,63,0.0004197411385623573,0.002182283141460295,0.0010343915848071152,0.42857142857142855
RNA-FM frozen encoder + MLP,5,62,0.0022033150753302255,0.008724392005180492,0.004743132922386689,0.43548387096774194
RNA-FM frozen encoder + MLP,6,62,0.009638481201156401,0.0552020362497746,0.028513649148574124,0.6129032258064516
RNA-FM frozen encoder + MLP,7,62,0.05623795453201108,0.3079569710476936,0.1259264387106991,0.7096774193548387
RNA-FM frozen encoder + MLP,8,62,0.31356385041163004,0.9959995767663967,0.8038104390440883,0.9516129032258065
