model_key,model,split,rows,accuracy,macro_precision,macro_recall,macro_f1,auroc,auprc,donor_f1,acceptor_f1,non_splice_f1,hard_negative_fpr,hard_negative_rows,hard_negative_false_positives,hard_negative_filter
cnn,CNN baseline (PyTorch Conv1D),test,285,0.887719298245614,0.911128328741965,0.8933333333333334,0.8857895920499826,0.9908411488411488,0.981421024740901,0.9947643979057592,0.8530805687203792,0.8095238095238095,0.47761194029850745,67,32,label == 2 and negative_type contains 'hard'
rnafm,RNA-FM frozen encoder + MLP,test,285,0.9614035087719298,0.9624675233480794,0.962280701754386,0.9623575245465793,0.9971924334306607,0.9947740769947764,0.9417989417989417,1.0,0.945273631840796,0.07462686567164178,67,5,label == 2 and negative_type contains 'hard'
rnabert,RNABERT frozen encoder + MLP,test,285,0.968421052631579,0.9688455874022884,0.9694736842105263,0.969041064089021,0.9982878889970302,0.9968333946308009,0.9583333333333334,0.994475138121547,0.9543147208121827,0.08955223880597014,67,6,label == 2 and negative_type contains 'hard'
spliceai,SpliceAI optional real tool (proxy fallback),test,285,0.8736842105263158,0.8920361247947456,0.88,0.8680128872014204,0.9980534893868228,0.9962108423557594,0.9004739336492891,0.9230769230769231,0.7804878048780488,0.5223880597014925,67,35,label == 2 and negative_type contains 'hard'
