motif_group,label_name,mean_motif_count,mean_delta,median_delta
ESE_proxy,acceptor,4.322222222222222,0.03501388250735004,0.008323619514580494
ESE_proxy,donor,5.231578947368421,0.6924366258032454,0.7400730194480836
ESE_proxy,non_splice,2.75,-0.002114494763400927,0.0
ESS_proxy,acceptor,0.2222222222222222,1.9716362207024118e-05,0.0
ESS_proxy,donor,0.3368421052631579,0.0014594781672679247,0.0
ESS_proxy,non_splice,1.29,0.0026225239650520273,0.0
ISE_proxy,acceptor,0.4666666666666667,0.0003463385163993101,0.0
ISE_proxy,donor,2.5052631578947366,0.8039917749196794,0.8256986658330457
ISE_proxy,non_splice,0.49,-0.000260221676849115,0.0
ISS_proxy,acceptor,5.722222222222222,0.6893218947813182,0.7357362445090248
ISS_proxy,donor,0.8315789473684211,-0.0007944670104468882,0.0
ISS_proxy,non_splice,0.74,-0.0001608201205592774,0.0
