seed,window_flank,sequence_length,model,accuracy,macro_precision,macro_recall,macro_f1,auroc,auprc,donor_f1,acceptor_f1,non_splice_f1,hard_negative_fpr
42,50,101,CNN baseline (PyTorch Conv1D),0.8306264501160093,0.8367195953843806,0.8388886337230567,0.8311551859036972,0.9512908679508082,0.9106526403795007,0.9213483146067416,0.8348909657320872,0.7372262773722628,0.34838709677419355
42,50,101,RNA-FM frozen encoder + MLP,0.8004640371229699,0.8018819676756824,0.8030602888817442,0.8024214527686343,0.9157585981463611,0.844839335564255,0.8199233716475096,0.8600682593856656,0.7272727272727273,0.27741935483870966
42,50,101,RNABERT frozen encoder + MLP,0.8120649651972158,0.8115840911316331,0.8190966108874158,0.8135776697366452,0.9285216165121574,0.8643611309813893,0.8823529411764706,0.825503355704698,0.7328767123287672,0.3096774193548387
42,100,201,CNN baseline (PyTorch Conv1D),0.8120649651972158,0.8205078794107571,0.820501043628254,0.8109403161151943,0.9472397960390793,0.9051482987233043,0.8955223880597015,0.8256880733944955,0.7116104868913857,0.3870967741935484
42,100,201,RNA-FM frozen encoder + MLP,0.7610208816705336,0.7612241916634203,0.7666658161138923,0.7634059982700908,0.9060000739007884,0.8125848204230267,0.8226415094339623,0.8053691275167785,0.6622073578595318,0.36129032258064514
42,100,201,RNABERT frozen encoder + MLP,0.8306264501160093,0.8307511915146458,0.8375189035354076,0.8323089172445841,0.9392172192026447,0.8885234763011395,0.9037037037037037,0.8372093023255814,0.7560137457044673,0.2903225806451613
42,200,401,CNN baseline (PyTorch Conv1D),0.8190255220417634,0.8252561394372843,0.827034990040027,0.8195746516799427,0.9463574505742968,0.9045755077081458,0.9063670411985019,0.822429906542056,0.7299270072992701,0.3548387096774194
42,200,401,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7857986630918047,0.7884052645814514,0.7869068064474994,0.9180583307278081,0.8438983615486091,0.8257575757575758,0.8356164383561644,0.6993464052287581,0.3096774193548387
42,200,401,RNABERT frozen encoder + MLP,0.814385150812065,0.8146997929606625,0.82108248150473,0.814936773046732,0.9308062722646602,0.8733389364583305,0.8773234200743495,0.8376623376623377,0.7298245614035088,0.32903225806451614
42,400,801,CNN baseline (PyTorch Conv1D),0.8190255220417634,0.8284062246163053,0.8273860982252366,0.8186452372026408,0.9468299549708382,0.905520656344975,0.9063670411985019,0.8256880733944955,0.7238805970149254,0.3741935483870968
42,400,801,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7879500272331156,0.7880541563962419,0.7879605142899565,0.9094830318356091,0.8332946858181604,0.8482490272373541,0.8013468013468014,0.7142857142857143,0.2903225806451613
42,400,801,RNABERT frozen encoder + MLP,0.8468677494199536,0.8471835835284396,0.8513417470013761,0.8476675158786359,0.9353613435787901,0.881476611797774,0.8863636363636364,0.8758169934640523,0.7808219178082192,0.2645161290322581
43,50,101,CNN baseline (PyTorch Conv1D),0.8375870069605569,0.8516982597338417,0.8374341884790927,0.8423729800892431,0.949863891352547,0.907165191051616,0.8888888888888888,0.8442906574394463,0.793939393939394,0.15483870967741936
43,50,101,RNA-FM frozen encoder + MLP,0.8004640371229699,0.8018819676756824,0.8030602888817442,0.8024214527686343,0.9157585981463611,0.844839335564255,0.8199233716475096,0.8600682593856656,0.7272727272727273,0.27741935483870966
43,50,101,RNABERT frozen encoder + MLP,0.8120649651972158,0.8115840911316331,0.8190966108874158,0.8135776697366452,0.9285216165121574,0.8643611309813893,0.8823529411764706,0.825503355704698,0.7328767123287672,0.3096774193548387
43,100,201,CNN baseline (PyTorch Conv1D),0.8167053364269141,0.830458873614197,0.8176459080756584,0.8223548740831284,0.9470490615819784,0.9039308376041323,0.8842975206611571,0.8187919463087249,0.7639751552795031,0.2064516129032258
43,100,201,RNA-FM frozen encoder + MLP,0.7610208816705336,0.7612241916634203,0.7666658161138923,0.7634059982700908,0.9060000739007884,0.8125848204230267,0.8226415094339623,0.8053691275167785,0.6622073578595318,0.36129032258064514
43,100,201,RNABERT frozen encoder + MLP,0.8306264501160093,0.8307511915146458,0.8375189035354076,0.8323089172445841,0.9392172192026447,0.8885234763011395,0.9037037037037037,0.8372093023255814,0.7560137457044673,0.2903225806451613
43,200,401,CNN baseline (PyTorch Conv1D),0.8283062645011601,0.8374994104280709,0.8309516154548842,0.8327014202585366,0.946619874324686,0.9033716735634346,0.8987854251012146,0.8295819935691319,0.7697368421052632,0.24516129032258063
43,200,401,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7857986630918047,0.7884052645814514,0.7869068064474994,0.9180583307278081,0.8438983615486091,0.8257575757575758,0.8356164383561644,0.6993464052287581,0.3096774193548387
43,200,401,RNABERT frozen encoder + MLP,0.814385150812065,0.8146997929606625,0.82108248150473,0.814936773046732,0.9308062722646602,0.8733389364583305,0.8773234200743495,0.8376623376623377,0.7298245614035088,0.32903225806451614
43,400,801,CNN baseline (PyTorch Conv1D),0.8213457076566125,0.8316207800267064,0.8236807501195026,0.826887240539009,0.9464084425709521,0.9030116300950674,0.8987854251012146,0.8160535117056856,0.7658227848101266,0.21935483870967742
43,400,801,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7879500272331156,0.7880541563962419,0.7879605142899565,0.9094830318356091,0.8332946858181604,0.8482490272373541,0.8013468013468014,0.7142857142857143,0.2903225806451613
43,400,801,RNABERT frozen encoder + MLP,0.8468677494199536,0.8471835835284396,0.8513417470013761,0.8476675158786359,0.9353613435787901,0.881476611797774,0.8863636363636364,0.8758169934640523,0.7808219178082192,0.2645161290322581
